#URL, CODE, LABEL_EN, DESCRIPTION_EN
"https://codelist.commonapproach.org/codeLists/LocalityStatsCan#loc1","loc1","Large Urban Population Centre",""
"https://codelist.commonapproach.org/codeLists/LocalityStatsCan#loc2","loc2","Medium Population Centre",""
"https://codelist.commonapproach.org/codeLists/LocalityStatsCan#loc3","loc3","Small Population Centre",""
"https://codelist.commonapproach.org/codeLists/LocalityStatsCan#loc4","loc4","Rural Areas",""
"https://codelist.commonapproach.org/codeLists/LocalityStatsCan#loc5","loc5","Indigenous Communities and Lands",""
"https://codelist.commonapproach.org/codeLists/LocalityStatsCan#loc6","loc6","Northern Canada",""
"https://codelist.commonapproach.org/codeLists/LocalityStatsCan#loc7","loc7","All of Canada",""
