"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://codelist.commonapproach.org/FundingState#applied","applied","Applied","The funding proposal has been submitted."
"https://codelist.commonapproach.org/FundingState#applied","applied","Applied","La proposition de financement a été soumise."
"https://codelist.commonapproach.org/FundingState#inReview","inReview","In Review","The funding proposal is being processed by the evaluating organization and is under review."
"https://codelist.commonapproach.org/FundingState#inReview","inReview","In Review","La proposition de financement est en cours de traitement par l’organisme évaluateur et est en cours d’examen."
"https://codelist.commonapproach.org/FundingState#funded","invested","Funded","The funding proposal has been accepted and funding has been allocated."
"https://codelist.commonapproach.org/FundingState#funded","invested","Funded","La proposition de financement a été acceptée et le financement a été alloué."
"https://codelist.commonapproach.org/FundingState#rejected","rejected","Rejected","The funding proposal has been rejected."
"https://codelist.commonapproach.org/FundingState#rejected","rejected","Rejected","La proposition de financement a été rejetée."
