"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://codelist.commonapproach.org/LocalityStatsCan#loc1","loc1","Large Urban Population Centre","A large urban population centres, with a population of 100,000 or more."
"https://codelist.commonapproach.org/LocalityStatsCan#loc2","loc2","Medium Population Centre","medium population centres, with a population between 30,000 and 99,999."
"https://codelist.commonapproach.org/LocalityStatsCan#loc3","loc3","Small Population Centre","A small population centres, with a population between 1,000 and 29,999."
"https://codelist.commonapproach.org/LocalityStatsCan#loc4","loc4","Rural Areas","All areas outside population centres are classified as rural areas."
"https://codelist.commonapproach.org/LocalityStatsCan#loc5","loc5","Indigenous Communities and Lands",""
"https://codelist.commonapproach.org/LocalityStatsCan#loc6","loc6","Northern Canada",""
"https://codelist.commonapproach.org/LocalityStatsCan#loc7","loc7","All of Canada",""
